review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste
kojevergas,1752,Curim Gold Celtic Wheat Beer,4.3,American Pale Wheat Ale,2.5,2.0,3.0,3.0,2.0
cokes,45821,Alt,9.5,Altbier,3.5,4.0,4.0,3.0,3.5
PatronWizard,38470,Stone Sublimely Self-Righteous Ale,8.7,American Black Ale,5.0,4.0,5.0,5.0,4.5
jlh8643,37518,Mean Manalishi Double I.P.A.,8.2,American Double / Imperial IPA,4.0,3.5,4.0,4.0,3.5
ffejherb,41604,Maple Oat Ale,5.2,American Pale Ale (APA),3.5,3.5,4.0,3.0,3.5
BeerFMAndy,54838,The Liberator,7.4,American Double / Imperial IPA,3.5,4.5,4.0,4.0,4.0
shirfan,1925,Arcadia IPA,5.9,English India Pale Ale (IPA),3.5,3.5,4.0,3.5,3.5
BigHeavy,1579,Olde GnarlyWine,10.6,American Barleywine,4.0,4.0,4.0,4.5,4.0
ChainGangGuy,8639,Cherry Lager,5.5,Fruit / Vegetable Beer,3.0,3.0,3.5,3.5,3.0
foogerd,3842,Trappistes Rochefort 6,7.5,Belgian Strong Dark Ale,4.0,3.5,3.0,4.0,4.0
matt062286,104,Samuel Adams Boston Lager,4.9,Vienna Lager,3.0,4.0,4.0,3.5,3.5
MasterSki,47376,Grand Baltic Porter,9.0,Baltic Porter,4.0,4.0,4.0,3.5,4.0
PintOHops,5716,Sweetgrass APA,6.5,American Pale Ale (APA),3.0,3.5,4.0,3.0,3.5
gixxerman,20954,Blackstrap Stout,6.2,American Stout,5.0,4.5,4.0,4.5,4.5
ckeegan04,42434,Saison Rue,8.5,Saison / Farmhouse Ale,5.0,4.0,4.5,4.0,4.5
GRG1313,2403,Bell's Special Double Cream Stout,6.1,American Stout,2.5,3.0,4.0,2.5,2.5
BuckeyeNation,26291,Leaderboard Trophy Lager,4.2,American Pale Lager,4.0,3.5,3.5,3.5,3.5
morebeergood,922,San Miguel Premium Lager,5.0,American Adjunct Lager,3.0,2.5,3.0,3.0,3.5
JohnGalt1,20524,"Luciérnaga, The Firefly",6.5,Belgian Pale Ale,4.0,4.0,4.0,4.0,4.0
SDtastentune,1372,Maximus,8.2,American Double / Imperial IPA,4.5,4.0,4.5,4.0,4.5
StrangeBrewer76,6076,Flower Power India Pale Ale,7.5,American IPA,4.0,4.0,4.5,4.0,4.0
Gmann,47364,Samuel Adams Blackberry Witbier,5.5,Witbier,4.0,3.0,3.5,3.5,3.5
mattcrill,751,Sweetwater 420 Extra Pale Ale,5.4,American Pale Ale (APA),4.5,4.0,4.0,4.0,4.0
Dirty1,55,Redhook Double Black Stout (with Coffee),7.0,American Double / Imperial Stout,4.0,3.5,3.5,3.5,4.0
drtth,1881,Samuel Adams Old Fezziwig Ale,5.9,Winter Warmer,4.0,3.5,4.5,4.0,4.0
Cs1987,44838,Gage Roads Saison,5.8,Saison / Farmhouse Ale,4.5,4.0,4.5,4.5,3.5
peabody,58922,Ommegang Zuur,6.0,Flanders Oud Bruin,4.0,4.0,4.0,4.0,3.5
rapidsequence,63490,Existent,7.4,Saison / Farmhouse Ale,4.5,3.5,4.0,4.5,4.5
Abita45,1550,Stoudts American Pale Ale,5.0,American Pale Ale (APA),4.0,3.5,3.5,3.5,4.0
hoplover82,8695,Fireman's #4,5.1,American Blonde Ale,4.0,3.0,4.0,3.5,2.5
chaz01,8914,'t Smisje Kerst,11.0,Belgian Strong Dark Ale,3.5,3.5,3.0,3.0,4.0
BrewMaven,6615,Premium Pils Beer,5.4,German Pilsener,3.0,2.5,2.5,3.0,3.0
Jimmys,1230,EKU 28,11.0,Doppelbock,4.0,4.0,4.0,4.0,4.0
GDBEERMAN,4902,Bitter Woman India Pale Ale,5.75,American IPA,4.0,3.0,3.5,4.0,4.5
femALEist,47238,BrewDog Paradox Smokehead (Batch 015) - Smokehead,10.0,American Double / Imperial Stout,2.5,4.0,3.5,3.5,2.5
BierFan,54929,Chatoe Rogue First Growth Dirtoir Black Lager,6.0,Schwarzbier,4.0,4.0,4.0,3.5,3.5
BDTyre,2023,Dragon's Tooth Oatmeal Stout,7.45,Oatmeal Stout,4.0,4.5,4.5,4.5,4.0
BuckeyeNation,20232,Terrapin Big Hoppy Monster,8.3,American Amber / Red Ale,5.0,4.5,4.5,4.5,4.5
BuckeyeNation,700,St. Pauli Girl,4.9,German Pilsener,2.0,2.5,3.5,2.0,2.0
PrinceDarren,1331,Pabst Blue Ribbon (PBR),4.74,American Adjunct Lager,5.0,2.0,2.5,2.5,3.0
Shaw,6715,Budweiser Budvar,5.0,Czech Pilsener,3.5,4.0,4.0,4.0,3.5
Reaper16,55081,Ranger,6.5,American IPA,3.5,3.0,4.0,3.0,1.5
Bierman9,30448,Incubus,10.3,Tripel,4.0,3.5,4.0,4.0,3.5
nlmartin,8348,Sgt Major's IPA,5.5,American IPA,3.5,3.5,3.5,3.5,3.5
jera1350,117,Maple Nut Brown Ale,4.5,American Brown Ale,4.5,3.5,3.5,3.5,4.0
Lnedrive14,24362,Imperial Brown Ale,7.5,American Brown Ale,4.0,4.5,4.5,5.0,5.0
SubpoenaDeuces,1524,Natural Light,4.2,Light Lager,1.5,1.0,2.5,1.5,1.0
PDXHops,2965,XS Old Crustacean,11.5,American Barleywine,3.0,3.5,3.5,3.5,3.5
Ryan011235,5948,Terrapin Rye Pale Ale,5.3,American Pale Ale (APA),4.0,3.5,3.5,3.5,4.0
shadow1961,117,Maple Nut Brown Ale,4.5,American Brown Ale,2.0,2.0,3.0,2.0,2.0
cjohnson,141,Hennepin (Farmhouse Saison),7.7,Saison / Farmhouse Ale,5.0,4.0,5.0,4.0,4.0
MABZ,5703,Black Marlin Porter,6.0,American Porter,4.5,4.0,4.0,3.0,4.5
bushwhacker,50194,Snake Handler Double IPA,9.3,American Double / Imperial IPA,4.0,4.0,3.5,3.0,4.0
nkruback,12322,Mojo IPA,7.2,American IPA,4.5,4.5,4.0,4.0,4.5
TheViceBlog,848,Tecate,4.5,American Adjunct Lager,3.5,3.0,3.5,3.0,3.0
BeardedRiker,34420,The Abyss,11.0,American Double / Imperial Stout,5.0,4.5,4.0,4.5,5.0
dmbgirl,639,Newcastle Brown Ale,4.7,English Brown Ale,4.0,4.0,4.5,4.0,4.0
Gueuzedude,44374,Levud's (Bourbon Barrel),11.0,Belgian Strong Pale Ale,3.5,3.5,3.0,4.0,4.0
IBUnit63,10071,Sapporo Premium Beer,5.0,Japanese Rice Lager,2.5,3.0,3.5,3.0,3.0
BeerResearcher,8944,Thumbsucker,7.8,Russian Imperial Stout,4.0,4.5,4.0,4.0,4.0
Jarod,1439,Whale's Tale Pale Ale,5.6,English Pale Ale,5.0,4.5,4.5,4.0,4.5
wl0307,15379,Roaring Meg,5.5,English Bitter,4.0,4.0,4.0,4.5,4.0
DaPeculierDane,33766,Krait Prestige,8.0,Bière de Champagne / Bière Brut,1.0,3.5,4.0,1.5,1.5
pwoods,6154,Garden State IPA,5.0,American IPA,4.0,3.0,4.0,4.5,3.5
wcudwight,607,Fat Tire Amber Ale,5.2,American Amber / Red Ale,4.5,3.5,3.5,3.5,4.0
jlindros,38465,Arbor Brewing Espresso Love,7.5,American Stout,2.5,2.5,3.5,2.5,3.0
TheFightfan1,20781,21st Amendment IPA,7.0,American IPA,4.0,3.5,4.5,4.0,3.5
mothman,3811,Third Coast Beer,4.8,American Blonde Ale,3.5,3.0,4.0,3.5,3.0
Phatz,10301,Southampton Grand Cru,9.5,Belgian Strong Pale Ale,5.0,4.0,4.5,4.0,4.5
ktrillionaire,36546,Hook & Ladder Golden Ale,5.5,American Blonde Ale,2.5,2.0,2.5,3.0,2.5
Charthepirate,364,Half-E-Weizen,4.8,Witbier,5.0,4.0,4.0,3.0,4.5
Dantes,15537,Ramstein Winter Wheat Eisbock,11.5,Eisbock,5.0,4.5,4.5,4.5,5.0
BDJake,25265,Blue Dot Double India Pale Ale,7.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.0
biggmike,34804,Landshark Lager,4.7,American Adjunct Lager,2.5,2.0,2.0,2.0,2.0
MrSeth,2014,The Reverend,10.0,Quadrupel (Quad),3.0,3.5,4.0,3.5,4.0
kdorgan12,1490,Hog Heaven Barley Wine,9.2,American Barleywine,4.0,4.0,4.0,4.0,4.5
hoppymeal,45860,Bommen & Granaten,15.2,English Barleywine,4.0,4.0,4.5,4.5,4.5
Hobbz,648,Anchor Small Beer,3.3,English Bitter,4.5,3.5,3.5,4.0,3.5
jimj21,599,Lindemans Framboise,2.5,Lambic - Fruit,4.0,5.0,4.0,4.5,4.0
LuthersMug,6108,60 Minute IPA,6.0,American IPA,4.0,4.5,3.5,4.5,4.0
JohnHoyos,1153,Chicory Stout,5.2,American Stout,4.0,4.0,3.5,3.5,4.0
ImWithStupid,23490,Edenton Big Boss IPA,6.8,American IPA,4.0,3.5,4.0,4.0,3.5
gerardoluna,2646,Erdinger Weissbier Pikantus,7.3,Weizenbock,4.0,4.0,4.0,4.0,4.0
SteveS1,1180,Raison D'etre,8.0,Belgian Strong Dark Ale,3.0,3.5,3.5,3.0,3.5
Slatetank,33467,High Tide Fresh Hop IPA,6.5,American IPA,4.5,4.5,4.5,5.0,4.5
Tupperwolf,12531,Pete's Brown (Tribute Ale),6.3,American Brown Ale,4.0,4.0,4.5,3.0,3.5
ltjska04,27800,Vanilla Porter,4.7,American Porter,4.5,3.5,4.5,4.5,4.5
Jaxxon61,20134,Martens Pilsener,4.8,Euro Pale Lager,3.0,3.0,3.5,3.0,3.0
Florida9,56461,Mayflower Barley Wine,10.5,English Barleywine,4.5,4.5,3.5,4.0,4.5
avalon07,248,Hoegaarden Original White Ale,4.9,Witbier,3.5,3.5,4.0,3.5,4.0
gabedivision,30,Trois Pistoles,9.0,Belgian Strong Dark Ale,5.0,5.0,4.5,4.0,5.0
dyan,34094,Older Viscosity,12.0,American Double / Imperial Stout,4.0,4.5,4.5,4.5,4.5
ngeunit1,69894,Founders Cashew Mountain Brown,10.0,American Brown Ale,4.0,5.0,4.0,4.0,5.0
jballeng,33227,Pike Tandem Double Ale,7.5,American Strong Ale,3.5,4.0,4.0,2.0,3.5
jpmclaug,32115,Portsmouth Rye Not Pale Ale,5.5,Rye Beer,4.5,4.0,4.0,4.5,4.0
Pegasus,34,La Fin Du Monde,9.0,Tripel,4.0,4.5,4.0,4.0,4.5
ByTor2112,9777,Terrapin Golden Ale,5.0,Cream Ale,3.5,3.5,3.0,3.5,3.0
MasterSki,55182,Rainwater Oak-Aged Stout,10.0,Russian Imperial Stout,3.5,3.0,4.0,3.5,4.0
scottoale,361,Brutal Bitter Ale,5.8,American IPA,4.0,4.0,4.5,4.0,4.5
WJVII,4920,Weltenburger Kloster Barock Dunkel,4.7,Munich Dunkel Lager,4.0,4.5,4.0,4.5,4.5
vladtheimpaler,1159,Robert The Bruce Scottish Ale,6.5,Scottish Ale,4.0,4.0,4.5,4.5,4.0
fitzy84,2235,Baltika #4 Original (Dark),5.6,Euro Dark Lager,4.0,3.0,2.5,4.5,4.0
pburland23,32437,Black & Blue,10.0,Fruit / Vegetable Beer,4.0,4.0,4.0,4.0,3.5
JBogan,30171,Moosbacher Weissbier,5.0,Hefeweizen,4.0,4.0,4.0,4.0,4.0
dbossman,16638,Cherry Chocolate Beer,5.7,Fruit / Vegetable Beer,2.5,2.0,4.0,3.0,3.0
ThePorterSorter,67140,Harry Porter And The Bourbon Soaked Vanilla Beans Porter,5.3,American Porter,4.0,4.0,3.5,3.5,4.0
demcorhip,25989,Belhaven Twisted Thistle IPA,5.3,English India Pale Ale (IPA),4.5,4.0,4.0,4.5,4.0
BourbonStreet,5359,Chapeau Gueuze Lambic,5.5,Gueuze,3.5,3.0,4.0,4.5,3.0
aaronh,1577,Wisconsin Belgian Red,4.0,Fruit / Vegetable Beer,3.0,3.5,3.5,4.0,3.5
kirok1999,20768,Fred From The Wood,10.0,American Strong Ale,3.5,4.0,4.0,4.0,4.0
jasonjlewis,37803,Angry Planet Organic Pale Ale,6.0,American Pale Ale (APA),3.5,3.5,4.0,3.5,3.5
LilBeerDoctor,49788,Time-Out IPA,7.7,American IPA,4.0,4.0,4.0,4.0,4.0
Erdinger2003,11784,Kuhnhenn Raspberry Eisbock,13.5,Eisbock,4.5,5.0,4.5,5.0,4.5
u2carew,13701,Rock Art American Red Ale,4.8,American Amber / Red Ale,3.0,3.0,3.5,3.5,3.0
FtownThrowDown,1917,La Folie,6.0,Flanders Red Ale,3.0,4.0,3.0,4.0,4.0
MuenchenerKindl,13722,Festina Lente,7.0,Lambic - Fruit,3.0,4.0,4.0,3.5,4.0
Thorpe429,41620,HELLRAZER,6.2,American IPA,3.5,3.5,3.5,3.5,3.0
pmatz2,2965,XS Old Crustacean,11.5,American Barleywine,1.0,2.5,2.5,2.0,1.0
hiikeeba,2299,Brewhouse Brown Ale,5.4,English Brown Ale,4.5,4.5,4.0,3.5,4.0
northyorksammy,8315,Épluche-Culotte,9.0,Tripel,4.5,4.0,4.0,3.5,4.5
JordanChabot,31323,Hop 15,10.0,American Double / Imperial IPA,4.0,4.5,5.0,4.5,4.5
CBFanWish,1119,Redhook ESB,5.77,Extra Special / Strong Bitter (ESB),4.0,3.5,3.5,4.0,4.0
cooncat,99,Spaten Optimator,7.6,Doppelbock,3.5,4.0,3.0,4.0,4.0
Darkale,1180,Raison D'etre,8.0,Belgian Strong Dark Ale,2.5,3.5,3.5,3.0,3.5
Pegasus,5997,Midwest IPA,7.2,American IPA,2.5,2.5,2.5,3.0,2.5
JohnGalt1,49472,Mirror Mirror,11.0,English Barleywine,4.0,4.0,4.5,4.5,4.5
jayhawk73,576,Samuel Smith's Nut Brown Ale,5.0,English Brown Ale,3.5,4.0,4.0,4.0,4.0
Proteus93,7560,Black Sun Stout,6.5,Irish Dry Stout,4.0,4.5,4.5,3.5,4.0
NJpadreFan,40267,Arcadia Hop Rocket,9.0,American Double / Imperial IPA,4.0,3.5,4.0,4.0,4.0
ChowHound,22190,East Coast Amber Ale,6.3,American Amber / Red Ale,3.5,3.5,3.0,4.0,4.0
jeffmonarch,24071,Gonzo Imperial Porter,9.2,Baltic Porter,3.5,3.5,5.0,4.0,4.5
HiAIPA,33933,Snowbound Winter Ale,8.6,Winter Warmer,3.0,3.0,4.0,4.0,4.0
Bendurgin,52945,Colt 45 High Gravity Lager,8.5,American Malt Liquor,2.0,2.0,3.0,2.5,2.0
Taelec,40087,Pullman Reserve,7.0,American Brown Ale,4.5,4.0,5.0,5.0,4.5
Viggo,34415,Judgment Day,10.5,Quadrupel (Quad),4.0,4.5,4.0,4.0,4.5
ccrida,27869,Old Bounder,9.6,American Barleywine,3.5,4.0,4.0,3.0,3.0
ommegoose,22484,Hop Juice Double India Pale Ale,9.9,American Double / Imperial IPA,4.0,3.5,4.5,4.0,4.0
TommyW,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,5.0,4.0,4.5,5.0,4.5
MoustacheHero,71919,Lips Of Faith - Kick,8.5,Fruit / Vegetable Beer,4.0,4.0,3.5,4.0,4.0
jsh420,57269,LongShot Lemon Pepper Saison,6.4,Saison / Farmhouse Ale,3.5,3.0,3.5,3.5,3.5
Slatetank,129,Orval Trappist Ale,6.9,Belgian Pale Ale,5.0,5.0,4.0,4.5,4.5
DAVIDMAGNUM,2392,World Wide Stout,18.0,American Double / Imperial Stout,1.5,1.5,4.0,1.0,1.5
rvdoorn,73486,Hr. Frederiksen Whisky Barrel,10.5,American Double / Imperial Stout,1.0,1.0,4.0,3.0,1.0
gregshead,56115,Hop Dam Triple IPA,10.0,American Double / Imperial IPA,3.5,3.0,4.0,3.0,3.5
brsett,703,Murphy's Irish Stout,4.0,Irish Dry Stout,4.0,5.0,5.0,3.0,4.0
julian,20518,Sanctification,6.75,American Wild Ale,4.0,3.5,4.0,4.5,4.5
marcpal,1213,Doggie Style Classic Pale Ale,5.5,American Pale Ale (APA),4.5,4.0,3.0,2.5,4.5
mikesgroove,26238,Bell's Batch 7000,12.0,American Double / Imperial Stout,4.0,4.5,4.0,4.5,4.0
Freshie,10,Allagash Dubbel Ale,7.0,Dubbel,4.0,3.5,3.5,4.0,4.5
mjyoung,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.0,4.5,4.0,4.5,4.5
NA1NSXR,767,Tsingtao,4.8,American Adjunct Lager,3.5,3.0,2.0,2.5,3.0
PorterLambic,3842,Trappistes Rochefort 6,7.5,Belgian Strong Dark Ale,4.5,4.0,3.5,3.5,4.5
DrRosenscrotum,49374,Colette Farmhouse Ale,7.3,Saison / Farmhouse Ale,3.5,4.0,3.0,4.0,3.0
FickleBeast,2231,Brooklyn Monster Ale,10.8,English Barleywine,3.0,3.5,4.5,3.5,3.5
guinness33,192,Geary's Pale Ale,4.5,English Pale Ale,5.0,4.0,4.0,4.5,4.0
tempest,6796,Saranac Chocolate Amber Lager,5.5,Euro Dark Lager,3.0,3.0,4.0,3.0,3.5
emericanchaos,754,Guinness Draught,4.2,Irish Dry Stout,3.0,4.0,5.0,3.5,3.0
OWSLEY069,1153,Chicory Stout,5.2,American Stout,4.0,4.0,4.5,3.5,3.5
tempest,54810,Stoudt's Pump-King,8.0,Pumpkin Ale,4.0,3.5,4.0,3.5,3.5
PubliusII,30546,Peak Organic Nut Brown Ale,4.8,English Brown Ale,4.0,4.0,3.0,4.0,4.0
oberon,50435,Valeir Extra,6.5,Belgian IPA,4.0,4.5,4.0,4.0,3.5
blackie,55039,Dankenstein IIPA,9.5,American Double / Imperial IPA,4.0,3.5,4.0,4.0,4.0
BeerImmediately,1160,Stone Imperial Russian Stout,10.5,Russian Imperial Stout,4.5,4.0,4.0,4.0,4.0
wsouloa,2743,Ramstein Winter Wheat,9.5,Weizenbock,4.0,4.0,4.5,4.5,4.0
assmasterson,20638,Bud Extra,6.6,Herbed / Spiced Beer,3.5,2.0,2.0,2.5,3.5
RedChrome,1558,Dreadnaught IPA,9.5,American Double / Imperial IPA,4.5,4.0,4.0,4.5,4.0
Damian,17119,Fisherman's Brew,5.5,American Amber / Red Lager,3.0,2.5,3.0,3.5,3.5
Knapp85,62328,Estate Homegrown Wet Hop Ale,6.7,American IPA,4.5,4.5,5.0,4.5,4.5
AgentMunky,50394,Polar Beer,4.7,Euro Pale Lager,3.5,2.0,3.0,2.5,2.5
bishopdc0,356,Imperial Stout,11.0,Russian Imperial Stout,4.0,4.0,4.0,3.5,4.0
goatgoat,28203,Furious,6.2,American IPA,3.5,3.0,3.5,4.0,3.5
warriorsoul,5948,Terrapin Rye Pale Ale,5.3,American Pale Ale (APA),3.5,3.5,3.5,3.5,3.5
tmoneyba,44912,IPA,7.0,American IPA,4.0,3.5,4.0,3.5,3.5
ppoitras,2973,Scape Goat Pale Ale,5.0,American Pale Ale (APA),4.0,3.0,4.0,3.5,3.5
Traquairlover,24349,J.W. Lees Harvest Ale (Calvados Cask),11.5,English Barleywine,4.5,4.5,4.0,5.0,4.5
kirok1999,48490,Black Rain Imperial Stout,8.2,American Double / Imperial Stout,4.0,4.0,3.5,3.5,4.0
czfreeman,40247,Fantôme La Dalmatienne (Light),8.0,Saison / Farmhouse Ale,4.5,5.0,4.5,5.0,5.0
Casey10,53453,Namaste,5.0,Witbier,4.0,4.0,4.0,4.5,4.0
mcallister,41972,Imperial Coffee Stout,8.0,Russian Imperial Stout,4.0,4.5,4.5,5.0,4.5
Retsinis,60324,Black Raven IPA,7.0,American Black Ale,3.5,4.0,4.0,3.5,3.5
Taelec,20524,"Luciérnaga, The Firefly",6.5,Belgian Pale Ale,3.0,4.0,4.0,4.0,4.0
kevman527,2533,Hairy Eyeball Ale,9.0,American Strong Ale,4.5,4.0,4.5,4.0,4.5
BringusKilkenney,680,Brooklyn Black Chocolate Stout,10.0,Russian Imperial Stout,4.0,4.5,4.0,4.5,4.0
CosmoHopHead,55412,GUBNA Imperial IPA,10.0,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.0
Derek,1867,Old Stock Ale,11.9,Old Ale,3.5,4.0,3.5,4.5,4.5
mophie,5030,Summer Blonde,5.4,American Blonde Ale,4.5,4.0,4.0,4.0,4.0
CAMRAhardliner,24768,De Koninck Blond,6.0,Belgian Pale Ale,4.0,4.0,3.5,3.5,4.5
BEERchitect,248,Hoegaarden Original White Ale,4.9,Witbier,4.5,4.5,4.5,4.0,4.5
nlmartin,356,Imperial Stout,11.0,Russian Imperial Stout,4.0,5.0,4.0,4.0,4.5
sixerofelixir,6580,Ayinger Kirta-Halbe,5.8,Märzen / Oktoberfest,4.0,4.0,4.0,3.5,4.0
allboutbierge,1639,Raspberry Imperial Stout,8.0,Fruit / Vegetable Beer,3.5,5.0,4.5,4.5,4.0
ChrisCage,31826,Hefeweizen,5.0,Hefeweizen,3.0,3.5,3.0,3.0,4.0
dustylong,1212,Blue Moon Belgian White,5.4,Witbier,3.5,3.5,3.0,3.5,3.5
cpetrone84,63989,Bell's Batch 10000,9.2,American Strong Ale,4.0,3.5,4.5,4.0,3.5
steelerguy,37900,Island Summer Ale,6.2,American Blonde Ale,3.5,3.5,4.0,3.5,3.5
brewandbbq,42836,Black Butte XX,11.0,American Porter,4.0,4.5,4.0,4.5,4.5
MrMcGibblets,55081,Ranger,6.5,American IPA,4.0,4.0,4.0,4.0,4.0
corby112,42538,Cuvée Van De Keizer Rood (Red),10.0,Belgian Strong Pale Ale,2.0,3.0,3.0,2.5,2.0
brentk56,37540,Gaspar Ale,8.0,Belgian IPA,2.5,3.0,4.5,2.5,3.0
jman892,4109,Troegenator Double Bock,8.2,Doppelbock,4.0,4.5,4.0,4.0,4.5
TheDM,1421,Delirium Nocturnum,8.5,Belgian Strong Dark Ale,3.5,4.0,4.0,3.0,5.0
scoots511,39286,Christmas Ale,10.0,Belgian Strong Dark Ale,3.5,4.0,4.0,3.5,4.0
ZenAgnostic,137,König Pilsener,4.9,German Pilsener,1.5,3.0,4.0,1.5,1.5
metter98,2318,Blue Point Toasted Lager,5.3,Vienna Lager,3.5,4.0,3.5,4.0,3.5
BuckeyeNation,42836,Black Butte XX,11.0,American Porter,4.5,4.0,4.5,4.5,4.0
brewcrew76,1118,Chocolate Stout,6.0,American Stout,4.5,4.5,4.0,4.5,5.0
fx20736,703,Murphy's Irish Stout,4.0,Irish Dry Stout,3.5,4.0,4.5,4.0,3.5
ColForbin,1581,McChouffe,8.0,Belgian Strong Dark Ale,3.5,4.0,3.5,3.5,4.0
forcedlaughter,71405,Jason Fields & Kevin Sheppard / Tröegs / Stone Cherry Chocolate Stout,7.3,Milk / Sweet Stout,4.0,4.0,4.0,4.0,4.0
DoreenAndDave,48243,Modus Hoperandi,6.8,American IPA,4.0,4.5,4.0,4.0,4.0
nickd717,22175,Toast (Slightly Burnt),6.0,American Amber / Red Lager,4.0,4.0,4.0,4.5,4.5
JonathanL7890,1894,Druid Fluid,9.5,American Barleywine,4.0,4.0,3.5,3.5,3.5
thelagerheads,228,Great Lakes Dortmunder Gold,5.8,Dortmunder / Export Lager,5.0,4.0,4.0,4.0,5.0
jbeaver,32626,Stone Mill Organic Pale Ale,5.5,English Pale Ale,2.5,3.0,3.5,3.0,2.5
glid02,54192,Imperial Eclipse Stout - Jack Daniels,10.0,American Double / Imperial Stout,4.5,4.5,4.0,4.5,4.0
peoplewithhands,50570,Tank 7 Farmhouse Ale,8.0,Saison / Farmhouse Ale,4.0,3.5,3.5,4.0,3.5
schoolboy,37014,Woody Creek White,4.8,Witbier,4.0,4.0,4.0,4.0,4.0
largadeer,46850,Struise Tsjeeses Reserva,10.0,Belgian Strong Pale Ale,4.0,4.0,3.5,4.0,4.5
orbitalr0x,3548,Rapscallion Premier,7.0,American Blonde Ale,4.5,4.0,4.0,4.0,4.0
Patrick999,6317,Girardin Gueuze 1882 (Black Label),5.0,Gueuze,5.0,4.0,5.0,5.0,4.5
kingface,1149,Gritty McDuff's Black Fly Stout,4.1,Irish Dry Stout,3.0,4.5,4.5,4.0,4.0
inhoc00,1169,Nut Brown Ale,5.3,English Brown Ale,4.5,4.0,4.0,4.0,4.0
PEIBeerGuy,7968,Lvivske Premium,4.7,Euro Pale Lager,2.0,2.5,2.5,2.5,2.5
ckeegan04,1119,Redhook ESB,5.77,Extra Special / Strong Bitter (ESB),4.0,3.0,3.0,3.5,3.0
Soneast,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.5,4.5,4.5,4.5,4.5
Rutager,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,4.5,4.0,4.5,4.0,4.5
Bookseeb,976,Singha,5.0,Euro Pale Lager,3.0,2.0,2.5,3.0,2.5
cokes,46903,LongShot Cranberry Wit,5.0,Witbier,3.5,3.5,3.5,3.5,3.5
timmy2b,2355,Leinenkugel's Red,4.9,Vienna Lager,4.0,4.0,4.0,3.5,4.0
dreadnatty08,8116,Hofbräu Dunkel,5.5,Munich Dunkel Lager,3.5,4.0,3.5,4.0,3.5
LilBeerDoctor,56106,Breakfast Stout,3.5,American Stout,4.0,3.5,4.0,4.0,3.5
sabrills70,31254,Allagash Musette,10.0,Scotch Ale / Wee Heavy,3.5,4.0,3.5,3.5,3.5
dangelop,37197,Serpent's Stout,11.0,American Double / Imperial Stout,4.0,3.0,3.5,4.0,4.0
gibby,2749,White Knuckle Double IPA,8.0,American Double / Imperial IPA,4.0,4.5,4.0,4.0,4.5
marvin213,833,Samuel Adams Pale Ale,5.25,English Pale Ale,2.5,3.5,4.0,3.5,3.0
bluemoonswoon,1056,Double Bastard Ale,10.5,American Strong Ale,4.0,4.5,4.5,4.5,4.5
aerozeppl,45275,Terrapin Gamma Ray,11.0,Wheatwine,4.0,4.0,4.5,4.5,4.0
jctribe25,695,Duvel,8.5,Belgian Strong Pale Ale,3.0,4.0,4.5,4.0,3.0
sonofabeach,2295,Miller High Life Light,4.5,Light Lager,5.0,4.0,4.0,4.0,4.0
NClifestyle,5401,Burning Skye Scottish Ale,5.3,Scottish Ale,4.0,3.5,3.0,4.0,4.5
t0rin0,63626,The Big DIPA No. 3 (Chardonnay Barrel),8.8,American Double / Imperial IPA,3.0,3.5,3.5,3.0,3.0
allengarvin,1856,St. Bernardus Pater 6,6.7,Dubbel,4.5,4.0,4.0,4.0,4.5
RoyalT,311,Harpoon IPA,5.9,American IPA,3.0,3.0,3.5,3.0,3.0
mikehblack,37113,Old Stock Cellar Reserve (Aged In Bourbon Barrels),13.16,Old Ale,5.0,4.5,3.5,4.5,5.0
evlu1441,2197,Holsten Premium,5.0,German Pilsener,2.5,3.5,3.0,3.0,3.0
Gyle41386,9590,Never Summer Ale,5.94,Winter Warmer,4.0,4.0,4.0,4.0,4.0
barleywinefiend,2729,India Pale Ale (IPA),6.5,American IPA,4.0,4.0,4.0,4.0,4.0
ozzyCobblepot,449,Stella Artois,5.0,Euro Pale Lager,2.5,3.5,3.0,3.0,2.5
Chaney,63152,30th Anniversary - Grand Cru,9.2,American Strong Ale,4.5,4.0,4.5,4.5,5.0
BeerBelcher,667,Negra Modelo,5.4,Munich Dunkel Lager,3.0,2.0,3.0,3.5,3.0
MbpBugeye,58610,Hoppy Birthday,5.25,American Pale Ale (APA),3.0,3.5,4.0,3.0,2.5
GeoffFromSJ,15881,Tröegs Nugget Nectar,7.5,American Amber / Red Ale,4.5,4.0,4.5,4.5,4.5
dnichols,12051,Raven's Eye Imperial Stout,9.5,Russian Imperial Stout,4.0,3.5,4.0,3.5,4.0
TurdFurgison,4847,König Ludwig Weiss (Royal Bavarian Hefe-Weizen),5.5,Hefeweizen,3.0,3.0,2.5,3.0,3.0
oline73,694,Don de Dieu,9.0,Belgian Strong Pale Ale,4.0,4.0,3.5,4.0,4.0
