review_profilename,beer_beerid,beer_name,beer_abv,beer_style,review_overall,review_aroma,review_appearance,review_palate,review_taste,km_labels
MrHolland,132,Ayinger Bräu Weisse,5.1,Hefeweizen,4.0,4.0,4.5,3.5,3.5,10
joedon,36207,Envy,7.0,American Double / Imperial Pilsner,2.0,3.0,2.5,3.5,2.5,9
PorterLambic,611,Hop Ottin' IPA,7.0,American IPA,4.5,4.5,4.5,4.0,4.0,10
Onenote81,14314,Porter,7.0,English Porter,4.0,3.5,3.5,3.5,3.5,6
BeerTruth,45846,Big Black Pumpkin,8.0,Pumpkin Ale,4.5,4.5,4.0,4.0,4.5,3
adamette,41923,Cerberus Belgian Tripel,10.0,Tripel,4.0,4.5,4.5,4.0,4.5,10
bbeerman,283,Sierra Nevada Stout,5.8,American Stout,4.0,3.5,4.0,3.5,4.5,7
jbphoto88,2137,Leffe Blonde,6.6,Belgian Pale Ale,3.5,3.0,3.5,3.5,3.5,6
Sephiroth,21700,Stone Old Guardian Barley Wine Style Ale 2005,11.26,American Barleywine,4.0,4.0,4.0,4.5,4.5,3
aquaderek,88,Stone IPA (India Pale Ale),6.9,American IPA,4.0,4.0,3.5,5.0,4.5,3
JayS2629,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,4.0,4.5,4.5,4.0,4.0,10
AKBelgianBeast,21466,Fort,18.0,Fruit / Vegetable Beer,4.0,3.5,3.5,4.0,4.0,7
hdofu,232,Corona Extra,4.6,American Adjunct Lager,3.0,2.0,1.5,2.0,3.5,9
Mitchster,35735,Miller Chill,4.1,Light Lager,2.5,3.5,3.0,3.5,3.5,4
younger35,55838,Ground Break,6.2,Saison / Farmhouse Ale,5.0,4.0,4.5,4.5,4.0,1
theopholis,7286,Gouden Carolus Noël / Christmas,10.0,Belgian Strong Dark Ale,3.0,4.5,4.0,3.5,3.0,0
Chriscrundwell12,55139,LeBleu,5.4,American Wild Ale,4.5,4.5,3.5,4.5,4.0,3
MuenchenerKindl,2408,EKU Pils,5.0,German Pilsener,4.5,3.5,4.0,4.5,3.5,7
beancounter,58,Allagash Grand Cru,7.2,Quadrupel (Quad),4.0,3.5,3.5,4.0,4.5,7
RandyV,4083,Stone Ruination IPA,7.7,American Double / Imperial IPA,4.0,4.5,4.0,4.0,5.0,3
Axic10,41815,Parabola,12.5,Russian Imperial Stout,4.5,4.5,4.0,4.5,5.0,1
biboergosum,1823,Labatt Blue Light,4.0,Light Lager,2.5,2.0,2.0,2.0,2.0,2
cpetrone84,42203,Cascade Apricot Ale,8.5,Lambic - Fruit,2.5,3.0,3.5,3.0,2.5,8
BlackHaddock,55618,Beier,5.2,Keller Bier / Zwickel Bier,4.5,3.5,4.0,4.0,4.0,7
godfathermg57,731,Weihenstephaner Hefeweissbier,5.4,Hefeweizen,5.0,3.5,4.0,4.0,4.5,3
todd1,702,Juniper Pale Ale,5.3,Herbed / Spiced Beer,2.5,3.0,3.0,3.5,2.5,9
gentlebubbles,429,Pilsner Urquell,4.4,Czech Pilsener,2.0,3.0,3.0,2.5,2.5,8
twiggamortis420,1672,Bornem Triple,9.0,Tripel,3.0,3.5,3.5,3.5,3.0,4
mentor,36195,Terrapin Hop Karma IPA,6.0,American Brown Ale,2.5,2.5,3.5,4.5,2.5,8
WoodBrew,55794,Raspberry Stout,6.0,Fruit / Vegetable Beer,4.0,4.5,4.0,4.0,4.5,3
OldSchoolGamer,25473,Partly Sunny,4.9,Witbier,4.0,3.5,3.5,4.0,3.5,6
Drinkerofales,50697,Double Jack,9.5,American Double / Imperial IPA,4.5,4.5,4.5,4.5,4.0,1
goodbyeohio,26383,Mönchshof Kellerbier (Kellerbräu),5.4,Keller Bier / Zwickel Bier,4.5,4.5,4.0,5.0,5.0,1
Zorro,9510,Expedition Ale,7.0,American Amber / Red Ale,4.0,4.5,3.5,4.0,4.0,5
natelocc787,398,Wolaver's Pale Ale,5.8,American Pale Ale (APA),2.5,3.0,3.0,3.0,3.0,4
harrymel,47020,Good Gourd Imperial Pumpkin Ale,8.5,Pumpkin Ale,3.5,4.0,3.5,3.5,3.5,0
crookedhalo,4335,Bobby,4.6,Kölsch,4.0,3.5,4.0,3.5,4.0,7
GarthDanielson,10308,Drake's IPA,7.0,American IPA,4.5,4.0,4.0,3.5,4.0,5
weeare138,10330,Aphrodisiaque,6.5,American Stout,4.0,4.5,4.0,4.0,4.0,5
StonedTrippin,50570,Tank 7 Farmhouse Ale,8.0,Saison / Farmhouse Ale,3.5,3.5,3.5,3.0,4.0,6
DIPAbrewer,31941,Hoptimus Prime,9.0,American Double / Imperial IPA,4.0,4.0,4.5,3.5,4.0,10
bondjedi,811,Bass Pale Ale,5.0,English Pale Ale,4.0,3.5,4.0,4.5,4.5,7
imacoug,40047,Ølfabrikken Abbey Ale (Special Reserve),8.5,Dubbel,4.0,4.5,4.0,4.5,4.0,3
Intrinsic,656,Tripel Karmeliet,8.4,Tripel,4.5,4.0,5.0,4.0,4.5,10
JamnesCameron,56510,Alien Agenda (Belgian) Amber Ale,5.5,Belgian Dark Ale,4.5,4.5,4.0,3.5,4.0,5
pschul4,226,Great Lakes Edmund Fitzgerald Porter,5.8,American Porter,4.0,4.0,4.5,3.5,4.5,10
korguy123,7348,Founders Porter,6.5,American Porter,4.5,4.5,4.5,4.0,4.0,10
freed,1144,Perkuno's Hammer Imperial Porter,8.0,Baltic Porter,4.0,4.0,4.5,4.5,4.5,10
Gmann,43990,Koekelaring,6.5,Belgian Dark Ale,4.0,3.5,4.5,4.0,3.5,7
chuck19,3457,Three Philosophers Belgian Style Blend (Quadrupel),9.8,Quadrupel (Quad),4.5,4.0,4.5,4.5,4.5,1
B967ierhunter177,52747,Tarry Suchong,6.0,Smoked Beer,1.0,1.5,2.0,1.0,1.0,2
bbkd3b,40418,Mighty Arrow Pale Ale,6.0,American Pale Ale (APA),3.0,4.0,2.5,3.5,3.5,4
matthewfuchs,5800,Kasteel Kriek,8.0,Fruit / Vegetable Beer,3.5,4.5,4.0,3.5,3.5,5
soper2000,11888,Cantillon Gueuze 100% Lambic-Bio (Organic Gueuze),5.0,Gueuze,4.5,4.5,4.5,4.5,4.5,1
Thorpe429,49603,Bitter Sable Imperial Black IPA,8.2,American Black Ale,4.0,4.0,4.0,4.0,3.5,5
ledzepp817,51071,Captain Sig's Northwestern Ale,6.2,American Amber / Red Ale,4.0,4.0,4.0,4.0,4.5,3
akahn,576,Samuel Smith's Nut Brown Ale,5.0,English Brown Ale,3.5,4.5,4.0,3.5,3.5,5
therica,30424,Dad's Little Helper Malt Liquor,7.2,American Malt Liquor,3.0,4.0,3.5,3.5,3.5,0
slvrmon82,33025,FedExtra Mild,6.2,American IPA,4.5,4.5,4.5,3.5,4.5,10
Beastdog75,695,Duvel,8.5,Belgian Strong Pale Ale,4.0,3.5,5.0,4.0,3.5,10
woemad,2671,Sierra Nevada Bigfoot Barleywine Style Ale,9.6,American Barleywine,4.5,3.5,4.0,4.5,4.0,7
gloobygloob,38818,Chocolate Indulgence Stout,7.0,Belgian Dark Ale,4.0,4.5,4.0,4.0,4.5,3
nrbw23,709,Big Eye IPA,7.0,American IPA,4.5,4.0,4.0,4.5,4.0,3
JAXSON,1709,Oude Kriek,6.0,Lambic - Fruit,3.0,3.5,4.0,3.5,3.5,0
Globetrotter,15544,Svitle Traditziyne,5.1,American Adjunct Lager,3.0,3.0,3.0,3.0,3.0,4
pwoods,1361,Ayinger Oktober Fest-Märzen,5.8,Märzen / Oktoberfest,4.5,3.0,4.0,4.0,4.0,7
dgilks,13741,Redemption,5.15,Belgian Pale Ale,4.5,4.5,4.0,4.0,4.5,3
Hojaminbag,34146,Founders Double Trouble,9.4,American Double / Imperial IPA,4.0,4.0,3.5,4.0,3.5,5
techtatu,924,Franziskaner Hefe-Weisse Dunkel,5.0,Dunkelweizen,4.0,3.0,3.5,3.5,4.0,6
stulowitz,47613,Mungát,4.6,Herbed / Spiced Beer,4.0,4.0,3.0,4.0,4.0,6
tgbljb,1575,Great Lakes Commodore Perry IPA,7.5,English India Pale Ale (IPA),4.0,4.0,4.0,4.0,4.5,3
thekevlarkid,12322,Mojo IPA,7.2,American IPA,4.0,5.0,4.5,4.0,3.5,10
Mitchster,14523,Primátor Double Bock Beer,10.5,Doppelbock,3.0,5.0,3.5,4.5,4.0,5
tpd975,49742,110K+OT Batch #2 - I.R.I.S.,11.5,Russian Imperial Stout,4.0,4.0,5.0,5.0,4.5,1
warchez,599,Lindemans Framboise,2.5,Lambic - Fruit,4.5,5.0,5.0,4.0,4.5,1
OhYesILoveBeer,65545,Heavy Seas Black Cannon,7.25,American Black Ale,3.5,4.0,4.0,3.5,3.5,0
rowew,5716,Sweetgrass APA,6.5,American Pale Ale (APA),4.5,3.5,4.0,3.5,4.0,7
Adrianized,51370,Alpha Weizen,4.8,American Pale Wheat Ale,4.0,3.0,4.0,4.0,4.0,7
DagFishHead,776,Samichlaus Bier,14.0,Doppelbock,4.0,4.5,4.0,5.0,5.0,1
tgbljb,22181,O'Hara's Irish Red,4.3,Irish Red Ale,4.0,3.5,4.0,3.5,4.0,7
BerkeleyBeerMan,14735,Solstice D'hiver,9.8,American Barleywine,3.5,4.5,3.5,4.0,4.0,5
coldmeat23,2512,Chimay Grande Réserve (Blue),9.0,Belgian Strong Dark Ale,4.5,4.5,4.5,4.0,4.5,1
thegodfather1076,1186,Dixie Blackened Voodoo Lager,5.0,Schwarzbier,4.0,4.0,4.0,4.0,4.0,5
whitehouse50,7879,St. Bernardus Witbier,5.5,Witbier,5.0,4.5,4.0,4.0,4.0,3
mariposafan,34306,Pannepot,10.0,Quadrupel (Quad),4.5,4.5,4.0,4.5,4.0,3
porterman,23495,Stone 05.05.05 Vertical Epic Ale,8.5,Belgian Strong Dark Ale,3.5,4.0,4.0,4.0,3.5,0
JanM,23942,Anchor Bock Beer,5.5,Bock,4.0,4.0,4.0,4.0,3.5,5
dauss,88,Stone IPA (India Pale Ale),6.9,American IPA,4.0,4.5,4.0,4.0,4.5,3
jctribe25,23453,Righteous Ale,6.4,Rye Beer,4.5,4.5,5.0,4.0,4.0,10
goindownsouth,4802,Young Allen's Lager,5.68,Vienna Lager,3.5,3.5,3.5,3.5,3.5,0
LittleCreature,55583,Coopers Clear,4.5,American Pale Lager,3.0,2.5,2.0,3.0,3.0,9
ROSCOE30,9157,Bink Blond,5.5,Belgian Pale Ale,2.0,2.5,3.0,3.0,2.5,8
SkeeterHawk,23720,Devil's Backbone,8.1,Tripel,3.5,3.5,4.5,3.0,4.0,0
Gusler,1956,Hop Hearty Ale,6.1,American IPA,4.0,4.5,4.0,4.0,4.0,5
Walken,12770,Damnation,7.75,Belgian Strong Pale Ale,4.5,4.0,4.0,4.0,4.5,3
seanwhite,7971,Pliny The Elder,8.0,American Double / Imperial IPA,4.5,4.5,4.5,4.0,5.0,1
NeroFiddled,67274,Shiner Ruby Redbird,4.01,Fruit / Vegetable Beer,3.5,4.0,2.5,3.0,3.0,4
brewdlyhooked13,41019,Imperial IPA,8.7,American Double / Imperial IPA,1.5,4.0,5.0,3.5,2.0,8
Knapp85,65050,Stillwater / Mikkeller Two Gypsies - Our Side,7.5,Saison / Farmhouse Ale,4.0,5.0,4.0,3.5,4.0,5
pmlondrigan,61100,King Henry,13.4,English Barleywine,4.0,5.0,4.0,4.5,4.0,3
Stew41,3624,Coopers Extra Strong Vintage Ale,7.5,English Strong Ale,3.0,3.0,4.0,3.0,2.5,8
CampusCrew,1914,1554 Enlightened Black Ale,5.6,Belgian Dark Ale,4.0,3.5,4.0,4.0,3.5,7
GPHarris,44531,Hell,5.1,Keller Bier / Zwickel Bier,3.5,4.0,3.0,4.0,4.0,6
GCBrewingCo,733,Fuller's India Pale Ale,4.9,English India Pale Ale (IPA),4.0,3.5,4.0,4.0,4.0,7
Vancer,3277,Dry Stout,5.2,Irish Dry Stout,4.5,4.0,3.5,3.5,4.0,5
rtratzlaff,1351,Yuengling Traditional Lager,4.4,American Amber / Red Lager,4.0,3.0,3.0,3.5,3.5,6
Brabander,50230,Emelisse Dubbel,7.0,Dubbel,3.5,3.0,3.5,3.0,3.5,4
genog,30845,CynicAle,6.7,Saison / Farmhouse Ale,4.5,4.5,4.0,3.5,4.0,5
MUSHROOMCLOUD,2508,Maredsous 8 - Dubbel,8.0,Dubbel,4.0,3.5,3.5,4.0,4.0,7
BeerHonky,7820,Ichtegems Ale (Oud Bruin),5.0,Flanders Oud Bruin,4.5,4.0,4.0,4.0,4.5,3
VitBAficionado,46054,Emerson's Thyme,4.7,Herbed / Spiced Beer,3.5,2.5,3.0,3.0,3.5,4
puboflyons,3558,Sierra Nevada Summerfest Lager,5.0,Czech Pilsener,3.5,4.0,3.0,3.5,4.0,6
mikejmadden,296,Jinx,6.9,Scotch Ale / Wee Heavy,4.5,4.0,4.0,4.0,4.5,3
coasterfreak75,104,Samuel Adams Boston Lager,4.9,Vienna Lager,4.0,3.0,3.0,4.0,4.0,6
gopens44,6373,Highland Black Mocha Stout,5.6,American Stout,4.5,3.5,4.0,4.0,4.5,7
ElGordo,3500,Cohoho Imperial IPA,8.0,American Double / Imperial IPA,4.0,4.0,4.0,4.0,4.0,5
jdhilt,52738,Pedavena Birra Delle Dolomiti,4.9,German Pilsener,2.5,2.0,3.0,3.0,2.5,9
Stoneman78,642,Stone 4th Anniversary IPA,8.5,American Double / Imperial IPA,4.5,4.5,4.0,4.5,4.5,3
beerceller99,1385,Delirium Tremens,8.5,Belgian Strong Pale Ale,3.5,4.0,3.5,3.0,4.0,5
jdflyer06,42349,Vanilla Bean Aged Dark Lord,13.0,Russian Imperial Stout,5.0,5.0,5.0,5.0,5.0,1
babaracas,48825,Improv (Improvisación) Oatmeal Rye India-Style Brown Ale,9.0,American Brown Ale,4.0,4.5,4.5,4.0,4.5,10
Anthony1,1914,1554 Enlightened Black Ale,5.6,Belgian Dark Ale,4.0,4.0,3.5,4.0,4.0,5
Arbitrator,28203,Furious,6.2,American IPA,5.0,5.0,4.5,5.0,5.0,1
beerluvr,570,Brooklyn Oktoberfest Beer,5.5,Märzen / Oktoberfest,3.5,3.5,3.5,3.5,4.0,6
wagenvolks,14366,Imperial IPA,9.0,American Double / Imperial IPA,4.5,5.0,4.5,5.0,4.0,1
Goliath,6305,Drie Fonteinen Oude Geuze,6.0,Gueuze,3.5,4.5,4.0,4.0,4.0,5
Reaper16,9474,Temptation,7.25,American Wild Ale,5.0,4.5,4.0,5.0,4.5,1
goodbyeohio,7401,Southampton Saison,6.5,Saison / Farmhouse Ale,4.5,4.0,4.0,3.5,3.5,5
ommegangpbr,311,Harpoon IPA,5.9,American IPA,4.0,3.5,3.5,3.5,4.0,6
AudioGilz,1444,Bell's Expedition Stout,10.5,Russian Imperial Stout,4.0,4.5,5.0,4.5,4.5,1
zaphodchak,67501,Smoked Chocolate Stout,6.0,American Stout,3.5,3.5,4.0,3.0,4.0,0
Duhast500,67044,Samuel Adams Rustic Saison,4.35,Saison / Farmhouse Ale,4.0,4.0,3.5,4.0,4.0,5
CHSLBrew,56707,Boss Tom's Golden Bock,6.1,Maibock / Helles Bock,4.0,3.5,3.5,3.5,4.0,6
olegv40,772,Hacker-Pschorr Hefe Weisse Natürtrub,5.5,Hefeweizen,4.5,4.0,4.0,4.0,4.5,3
decimator,2197,Holsten Premium,5.0,German Pilsener,3.0,3.0,4.0,3.0,3.0,4
Tilley4,353,Mocha Porter,5.3,American Porter,3.5,4.0,4.0,2.5,3.5,0
atr2605,412,Old Rasputin Russian Imperial Stout,9.0,Russian Imperial Stout,4.0,4.0,4.5,4.0,4.5,10
jdubjacket,49449,Dunkel Weiss,6.4,Dunkelweizen,4.0,3.5,4.0,4.0,3.5,7
Dukeofearl,16509,De Dolle Extra Export Stout,9.0,Foreign / Export Stout,3.5,4.5,5.0,3.5,3.5,10
ffejherb,45629,Peak Organic Espresso Amber Ale,6.8,American Amber / Red Ale,4.5,4.5,4.5,4.5,4.5,1
BEERchitect,5988,Belgian Winter Ale,8.0,Belgian Strong Dark Ale,2.0,3.0,2.5,2.0,2.0,2
gmfessen,1117,Bell's Kalamazoo Stout,6.0,American Stout,4.5,4.5,4.5,4.5,4.5,1
tbeckett,2189,Steam Whistle Pilsner,5.0,German Pilsener,3.0,3.5,3.5,3.0,3.5,4
Brent,3836,Hofbräu Münchner Weisse,5.1,Hefeweizen,3.0,3.0,3.5,3.0,3.5,4
thagr81us,67162,Apollo Single Hop IPA,5.2,English India Pale Ale (IPA),4.5,4.5,4.5,4.5,4.5,1
MSchae1017,45275,Terrapin Gamma Ray,11.0,Wheatwine,4.0,4.5,3.5,4.5,4.0,3
nasty15108,1339,Hazelnut Brown Nectar,6.2,American Brown Ale,4.5,5.0,5.0,5.0,4.5,1
callmemickey,2899,Andechser Doppelbock Dunkel,7.1,Doppelbock,4.5,4.0,4.0,4.5,4.5,3
cokes,63158,Hopperbolic,6.0,American IPA,4.5,3.5,4.0,4.5,4.0,7
morimech,57466,Cowboy Coffee Porter,6.2,American Porter,3.5,4.0,4.5,3.5,3.0,0
BeerNemesis,945,Adam,10.0,Old Ale,4.5,4.5,4.5,4.0,5.0,1
jacobseyb,279,Sierra Nevada Porter,5.6,American Porter,4.5,3.5,4.0,4.0,4.0,7
stoned2,18930,Panil Barriquée  (Italy Version),8.0,Flanders Red Ale,5.0,5.0,4.5,5.0,5.0,1
tronester,2477,Wittekerke,5.0,Witbier,4.0,3.5,4.0,3.5,3.5,0
bewareOFpenguin,10274,Ipswich Summer Ale,4.9,American Blonde Ale,4.5,4.0,4.5,4.0,4.5,10
SaazWarz,59369,Stone 14th Anniversary Emperial IPA,8.9,American Double / Imperial IPA,4.0,4.0,4.0,4.5,4.5,3
Mark,913,Murphy's Irish Red Beer,5.0,Irish Red Ale,3.0,3.0,4.0,3.5,3.5,0
bozebus17,6684,Dragonmead Reverend Fred's Oatmeal Stout,5.7,Oatmeal Stout,4.0,4.5,4.0,4.0,5.0,3
imperialhink,71774,Lips Of Faith - Clutch Collabeeration,9.5,American Wild Ale,3.0,2.5,2.5,2.5,3.0,9
Bighuge,178,Strike Out Stout,4.6,English Stout,1.0,2.0,3.0,1.0,1.0,2
Chaney,60620,Hex,5.4,American Amber / Red Ale,2.0,2.5,3.5,2.5,2.5,8
winomark,5045,8 Ball Stout,6.3,Oatmeal Stout,4.5,4.0,3.5,4.0,4.0,3
oberon,1284,Carta Blanca,4.5,American Adjunct Lager,4.0,3.0,3.0,3.5,3.5,6
lukymann,33832,Palo Santo Marron,12.0,American Brown Ale,4.0,3.5,4.0,4.0,3.5,7
nomad,17057,Instigator Eisdoppelbock,16.5,Eisbock,4.5,4.5,4.0,4.0,4.5,3
Docer,54545,Arctic Blast Vanilla Porter,5.8,American Porter,4.0,4.0,4.0,4.5,4.0,3
comat0se,2965,XS Old Crustacean,11.5,American Barleywine,4.5,4.0,4.0,4.5,5.0,3
Phyl21ca,3724,Fish Tale Poseidon's Imperial Stout,10.0,Russian Imperial Stout,4.0,4.0,4.0,4.0,4.0,5
theopholis,37112,Le Merle,7.9,Saison / Farmhouse Ale,3.0,4.0,2.5,2.5,3.0,4
jlindros,17055,Black Boss Porter,9.4,Baltic Porter,4.5,4.0,4.0,3.5,3.5,5
goochpunch,1904,Sierra Nevada Celebration Ale,6.8,American IPA,4.5,5.0,4.5,4.5,5.0,1
OldSock,21804,Smuttynose Wheat Wine (Big Beer Series),10.7,Wheatwine,2.5,3.0,4.0,4.5,3.5,0
nick76,53146,Terrapin Pumpkinfest,6.1,Fruit / Vegetable Beer,3.5,4.0,3.5,3.5,3.5,0
Mitchster,22387,Lagunitas Imperial Red Ale,7.5,American Strong Ale,4.0,4.5,4.5,4.5,4.5,1
kaimcm,8543,Southampton Imperial Baltic Porter,7.5,Baltic Porter,4.0,4.5,3.5,4.0,4.5,3
BearJohnson,3951,ApriHop,7.0,American IPA,4.5,4.0,4.0,4.5,4.5,3
Deuane,14660,Shade Grown Coffee Porter,6.3,American Porter,4.5,3.5,3.5,4.0,4.0,7
hsway,40058,Choklat,11.0,American Double / Imperial Stout,3.5,4.5,4.0,3.5,4.5,5
Gobzilla,38576,Sticky Stout,8.0,Russian Imperial Stout,4.0,4.0,4.0,3.5,4.0,5
scottbrew4u,1118,Chocolate Stout,6.0,American Stout,4.0,4.5,4.0,4.5,4.5,3
objectivemonkey,40988,Reunion '08,6.5,Rye Beer,3.5,3.5,4.0,3.5,3.5,0
NefariousR,198,Black Butte Porter,5.2,American Porter,4.5,4.0,3.5,5.0,4.5,3
tone77,1996,Elephant Beer,7.2,Euro Strong Lager,3.5,3.5,3.5,3.0,3.0,4
IHC,1118,Chocolate Stout,6.0,American Stout,5.0,4.5,4.5,5.0,5.0,1
Traquairlover,33399,Saranac Brown Ale,6.0,American Brown Ale,4.0,3.5,2.5,3.0,3.0,4
SpdKilz,10482,Monk's Café Flemish Sour Ale,5.5,Flanders Oud Bruin,2.5,2.5,3.5,3.0,3.0,8
seesnow3,779,Weihenstephaner Korbinian,7.4,Doppelbock,4.0,4.5,3.5,3.5,4.0,5
jdense,38703,Quilter's Irish Death,7.8,American Strong Ale,3.5,3.5,4.0,4.0,3.5,0
scottum,92,Arrogant Bastard Ale,7.2,American Strong Ale,5.0,4.5,5.0,4.5,4.5,1
chocosushi,48720,Native Amber,6.3,American Amber / Red Ale,4.5,4.5,4.0,4.5,4.5,3
sixerofelixir,782,Samuel Smith's Imperial Stout,7.0,Russian Imperial Stout,4.0,4.0,4.0,5.0,4.5,3
Thumpernator,79,Wee Heavy,6.5,Scotch Ale / Wee Heavy,5.0,5.0,5.0,5.0,5.0,1
cdubb,2151,Tire Bite Golden Ale,5.1,Kölsch,3.5,3.0,3.0,3.5,3.5,6
oberon,22189,Bengali Tiger,6.4,American IPA,4.0,4.0,4.0,3.5,4.5,5
pwoods,3338,Cadillac Mountain Stout,6.7,American Stout,5.0,3.5,3.5,5.0,4.5,3
CuriousMonk,68247,Euphoric,7.2,American Double / Imperial IPA,4.0,3.5,4.0,3.5,3.5,0
mbrasi,20470,Stoudt's Double IPA (India Pale Ale),10.0,American Double / Imperial IPA,4.5,4.5,4.0,4.0,4.5,3
superdedooperboy,96,Black Bavarian,6.0,Schwarzbier,4.0,3.5,3.5,3.5,3.5,6
azdback,43171,McNellie's Pub Ale,5.0,English Bitter,3.0,3.0,3.0,3.0,2.5,9
JohnQVegas,11757,Founders Breakfast Stout,8.3,American Double / Imperial Stout,4.0,4.0,4.0,4.0,4.0,5
largadeer,62449,Rumpkin,15.9,Pumpkin Ale,4.0,4.0,4.0,4.0,4.0,5
Verecund,3279,Irish Ale,5.8,Irish Red Ale,3.5,3.5,4.0,3.0,3.5,0
ImperialScott,10387,AleSmith Evil Dead Red,6.66,American Amber / Red Ale,4.0,4.0,5.0,4.0,4.5,10
Durge,1094,Bell's Oberon Ale,5.8,American Pale Wheat Ale,4.5,3.0,3.5,4.0,3.5,7
SpdKilz,7597,Pure Hoppiness,8.0,American Double / Imperial IPA,4.5,4.0,4.0,4.5,4.0,3
irishtimepiece,3457,Three Philosophers Belgian Style Blend (Quadrupel),9.8,Quadrupel (Quad),4.0,4.0,4.0,4.0,5.0,3
Foxman,18862,Burton Baton,10.0,American Double / Imperial IPA,4.0,4.5,4.5,4.0,4.5,10
WhiteOak,50795,Stone 13th Anniversary Ale,9.5,American Strong Ale,2.0,2.0,4.0,2.0,1.5,8
nickd717,62416,Scratch Beer 35 - 2010 (Fresh Hop Ale),7.2,American IPA,4.5,3.5,4.0,4.0,4.5,7
mntlover,410,Ruedrich's Red Seal Ale,5.5,American Amber / Red Ale,4.0,4.0,4.0,4.0,4.0,5
BlackHaddock,42074,Duchy Originals Select Ale,6.2,English Strong Ale,4.5,4.0,4.0,4.5,4.5,3
jamesdantes13,402,SkullSplitter,8.5,Scotch Ale / Wee Heavy,4.5,4.0,4.0,4.5,4.5,3
BigMike,38426,Saison Athene,7.5,Saison / Farmhouse Ale,4.5,4.0,4.5,4.0,4.5,10
plaid75,1814,McNeill's Pullman's Porter,5.5,American Porter,4.0,4.0,4.0,4.0,4.0,5
Reaper16,3322,Nutcracker Ale,5.9,Winter Warmer,3.5,3.5,4.0,3.5,4.0,0
MaltyGoodness,24859,Saint Goötz (Batch 371),5.9,Dunkelweizen,4.0,4.0,3.5,3.5,4.0,5
Naugros,30288,Double Simcoe IPA,9.0,American Double / Imperial IPA,4.5,4.5,4.0,4.0,4.5,3
patm1986,22227,Supplication,7.0,American Wild Ale,5.0,5.0,4.5,4.5,5.0,1
rcusick,53886,Terrapin Hopsecutioner,7.3,American IPA,4.5,2.0,4.0,4.0,4.0,7
bassmantin,7520,Dark Lord Imperial Stout,15.0,Russian Imperial Stout,5.0,5.0,5.0,5.0,5.0,1
Risser09,38176,Saint Arnold Divine Reserve #5,10.0,Russian Imperial Stout,4.5,5.0,4.0,4.5,5.0,1
far333,2654,Left Hand Imperial Stout,10.4,Russian Imperial Stout,4.0,4.5,3.5,4.0,4.5,3
Spineypanda,82,Organic Hefe-Weizen,5.1,Hefeweizen,4.5,4.5,4.0,4.0,4.0,3
froghop,43738,Krampus (Imperial Helles Lager),9.0,American Double / Imperial Pilsner,3.5,3.0,3.5,3.0,3.5,4
ne0m00re,62671,Back Forty Bock,5.5,Bock,4.5,4.0,4.5,3.5,4.0,10
VoodooBrew,31559,Big Easy Beer,4.2,American Amber / Red Lager,4.0,3.5,3.5,4.0,3.5,6
ADTaber,1158,Pride & Joy Mild Ale,5.0,American Pale Ale (APA),4.0,4.0,3.5,3.5,4.0,5
franksnbeans,22484,Hop Juice Double India Pale Ale,9.9,American Double / Imperial IPA,4.5,4.0,4.0,4.0,4.0,3
misterscooter,10308,Drake's IPA,7.0,American IPA,3.0,3.5,4.5,4.0,4.0,0
vfgccp,36185,Backburner (Imperial Barley Wine Style Ale),9.6,American Barleywine,3.0,3.0,3.5,3.5,3.5,4
woosterbill,51428,Wachusett Larry,7.5,American Double / Imperial IPA,4.0,3.5,4.5,4.0,4.0,7
Phyl21ca,47777,Trashy Blonde,4.1,English Pale Ale,3.0,3.0,3.0,3.0,3.0,4
cadenwhitaker,45454,Brrr,7.2,Winter Warmer,3.5,3.5,3.5,3.5,3.0,0
mikesgroove,39893,Pisgah Valdez,6.8,American Double / Imperial Stout,5.0,4.5,5.0,5.0,5.0,1
coolbrew,1901,Zywiec Porter,9.5,Baltic Porter,2.0,2.0,3.5,3.0,2.5,8
WSPWeasel,28331,Kirin Enjuku,6.0,Happoshu,4.5,4.0,4.0,3.5,4.0,5
peabody,1331,Pabst Blue Ribbon (PBR),4.74,American Adjunct Lager,3.5,2.5,3.0,2.0,3.0,9
DogFood11,14309,Samuel Adams Chocolate Bock,5.8,Bock,1.0,2.0,2.0,2.0,2.0,2
TheJoj,1606,Bishops Finger,5.4,Extra Special / Strong Bitter (ESB),4.0,4.0,4.0,4.5,4.0,3
barleywinebrewer,7463,Founders Dirty Bastard,8.5,Scotch Ale / Wee Heavy,4.0,3.5,4.0,4.0,4.0,7
mentor,62254,Stone 10.10.10 Vertical Epic Ale,9.5,Belgian Strong Pale Ale,4.5,3.5,4.0,4.5,4.0,7
Gavage,14069,Otter Creek Alpine Ale,5.9,American Amber / Red Ale,3.5,3.0,4.5,4.0,4.0,7
SeasonalBrew,28318,Captain's Reserve Imperial IPA,9.0,American Double / Imperial IPA,4.0,4.0,4.5,4.0,4.5,10
corby112,23453,Righteous Ale,6.4,Rye Beer,3.5,3.5,4.0,4.0,3.5,0
fishacura,5428,New Holland Dragon's Milk Oak Barrel Ale,10.0,American Stout,2.0,3.0,3.0,2.0,2.0,8
AltBock,1011,St. Boisterous,7.4,Maibock / Helles Bock,3.5,3.0,2.5,3.0,3.5,4
